priority,submitted_by,name,country,city,suburb,state,postcode,location,time,start_time,finish_time,image_path,description,url
2,hola@activeliving.es,ACTIVE NATION DAY MALLORCA,Spain,Palma,,Balearic Islands,07001,Parc de la Mar,13:00,1pm,2pm,,"Move your body with Low Pressure Fitness, a whole body program exercise that integrates core, pelvic floor and diaphragm.",http://www.activeliving.es/activenationday
2,jessie.dean@lornajane.com.au,Active Nation Day Quebec City,Canada,Lac-Beauport,,QB,G3B 0T1,RESORT ENTOURAGE SUR-LE-LAC 99 Chemin du Tour-du-Lac,1pm-3pm,1pm,3pm,,Your Move Matters! Join us on Sunday 24th September and let your actions speak louder than words by inspiring others to move towards a fitter future.,https://www.eventbrite.com/e/active-nation-day-in-quebec-city-tickets-37437825544
2,janelle.cherniwchan@lornajane.com,Active Nation Day Montreal,Canada,Montreal,QB,,H3A 1W6,Club Sportif MAA 2070 Rue Peel,9:30-4PM,9:30am,4pm,,Your Move Matters! Join us on Sunday 24th September at Club Sportif MAA and let your actions speak louder than words by inspiring others to move towards a fitter future.,https://www.eventbrite.com/e/active-nation-day-in-montreal-tickets-37819810070
2,janelle.cherniwchan@lornajane.com,Active Nation Day in Vancouver,Canada,Vancouver,,BC,V6B2T4,1038 Mainland Street,11:30am,11:30am,3pm,,Your Move Matters! Join us on Sunday 24th September along with the Barre Fitness & Fit in 30 Minutes and let your actions speak louder than words by inspiring others to move towards a fitter future.,https://www.eventbrite.com/e/active-nation-day-in-vancouver-tickets-37819272462
2,thuy@lornajane.com.vn,Active Nation Day 2017 Việt Nam,Viet Nam,TP.Hồ Chí Minh,,,"01 Huyền Trân Công Chúa, Quận 1",Dáng Ngọc Spa,17:30,5:30pm,,,"Chương trình diễn ra từ 17:30 – 21:00 gồm 2 lớp Yoga tại Dáng Ngọc spa, tiệc trà nhỏ và hoạt động mua sắm với các chương trình ưu đãi đặc biệt.",https://www.facebook.com/activewomenvietnam/photos/a.1556460621252536.1073741828.1556448091253789/2028275017404425/?type=3&source=48
,thefitnesstemple.au@gmail.com,LORNA JANE & THE JUNGLE BODY ADELAIDE ACTIVE NATION DAY,Australia,Adelaide,Adelaide,South Australia,5000,93 Rundle Mall,8:45am,8:45am,,,"Adelaide!! Join us and make your MOVE on Sunday 24th September as we celebrate the launch of Rundle Mall's new Active Living Room! Enjoy free dance fitness workouts, nourishing snacks and your fave active wear sales from Rundle Mall. Bring your water bottle, sweat towel, girlfriends and smiles! 💖",
,jamie_masoner89@hotmail.com,REEF TO ROCKS RUN,Australia,Mindarie,,Western Australia,6030,Rosslane Promenade ,07:30,7:30am,,,"A run, walk or cycle to get active, raise awareness and raise well needed funds for the Heart Foundation. ",https://www.facebook.com/events/473323093028948/?ti=cl
2,jaclyn.maginnis@lornajane.com.au,Active Nation Day Malaysia 2017,Malaysia,Kuala Lumpur,,,55100,"Lorna Jane Pavilion Elite Lot 5.102.01, Level 5, Pavilion Elite",10am,10am,1pm,,,https://www.eventbrite.com/myevent?eid=37838266273
2,jaclyn.maginnis@lornajane.com.au,Nice Active Nation Day,France,Nice,,,06000,"Les cours se font au départ de la boutique Lorna Jane Nice au 22, Rue de la Liberté",09:00,9am,,,"09H00 - 10H00 : Cours de yoga – Réveil en douceur avec Marielle en partenariat avec Le Galet Plage – Merci d'apporter votre tapis 10H30 - 11H30 : Session HIIT avec Claudia (en plein air) - Merci d'apporter votre tapis 11H30 - 13H30 : Atelier sur les bienfaits de l’Aloe Vera, test & diagnostique",http://bit.ly/2fdkK5L
2,alyssa.rosete@lornajane.com,Active Nation Day Philippines,Philippines,Taguig City,,,1550,"F45 Training, BGC Stopover",8:00am - 11:00am,8am,11am,,"Your Move Matters! Join us on Sunday 24th September for a Lorna Jane Functional Workout by F45, followed by a Hot Yoga Session led by LiFE Yoga. Let's move together towards a fitter future!",https://www.eventbrite.com/e/active-nation-day-philippines-2017-tickets-37798467233
2,jaclyn.maginnis@lornajane.com.au,Austria Active Nation Day,Austria,Salzburg,5020,,,Im vita club Salzburg – Im größten Fitness-Club in West Österreich,9:30am,9:30am,11:30am,,9.30am–10.30am Step Party und 10.30am–11.30am IN Shape mit Andrea Eckerl Mach mit und sei dabei am Active Nation Day! Kostenlos für alle. Anmeldung bitte vorort an der vita club Rezeption mit dem Kennwort: Active Nation Day,https://www.lornajane.at/activenationday_lornajane_austria
2,jaclyn.maginnis@lornajane.com.au,Durban Active Nation Day,South Africa,Durban,Ballito,KZN,4390,"Sugar Rush Park, Esenembe Rd",07:00,7am,,,"This event is FREE of charge but you have to get your free ticket online. This ticket will enable you to REGISTER on the day at the event. TICKETS ARE LIMITED! The first 100 ladies to REGISTER ON THE DAY, at the event, will receive a fabulous LORNA JANE GOODIE BAG! ON THE DAY: 7am - 8am: Registration, Class 1: HIIT, Class 2: Pilates, Class 3: Yoga. Fabulous prizes up for grabs, for the most enthusiastic sisters! *BRING YOUR OWN YOGA MAT, SWEAT TOWEL & SUNSCREEN* Remember to share the event with all your lady friends and family. Looking forward to seeing all of you there - Let's get MOVING!",http://qkt.io/E0WxtL
2,jaclyn.maginnis@lornajane.com.au,Cape Town Active Nation Day,South Africa,Cape Town,Clifton,,8005,"The Bungalow, Glen Country Club, 3 Victoria Rd",08:00,8am,,,"This event is FREE of charge but you have to get your free ticket online. This ticket will enable you to REGISTER on the day at the event. TICKETS ARE LIMITED! The first 100 ladies to REGISTER ON THE DAY, at the event, will receive a fabulous LORNA JANE GOODIE BAG!",http://qkt.io/i0EWB5
2,sandy.goh@lornajane.my,Malaysia Active Nation Day,Malaysia,Kuala Lumpur,,KL,55100,"Lorna Jane Level 5 Pavilion Elite, Bukit Bintang Street",10am - 1pm,10am,1pm,,"10.00am- HIIT Surge, 11.00am- HIIT Bosu, 12pm- Yoga. Enjoy 40% off clearance stock and 20% off when you buy a set.",https://www.facebook.com/LornaJaneMalaysia/
,staceyc@xtendbarre.com,Active Nation Xtend Barre Burleigh,Australia,Gold Coast,Burleigh Heads,Queensland,4220,8/3 Park Avenue,,,,,"It's Active Nation Day! Join us for a FREE Xtend Barre class! Xtend Barre is a 55 minute total body workout! Pilates and Dance Amplified! Developed from a dance/Pilates background, the Xtend Barre workout combines the amazing results of dance, with the principles of strength and safety in Pilates.",https://clients.mindbodyonline.com/classic/ws?studioid=450266&stype=-7&sView=day&sLoc=0&date=09/24/17
,namaste@bohemeandbody.com.au,Boheme Yoga,Australia,Gold Coast,Varsity Lakes,Qld,4227,Boheme + Body Wellness Shala Christine Corner Shopping Centre Cnr of Christine Avenue & Bermuda Street,8am and 4.30pm,8am,4:30pm,http://5c4cf848f6454dc02ec8-c49fe7e7355d384845270f4a7a0a7aa1.r53.cf2.rackcdn.com/ee9a8a9d-d869-4b01-b2ac-aaacc01ba7bd/_MG_0910-1.jpg,We are offering a 8am general yoga and 4.30pm yin yoga class for free!,
,nicole.stanier@gmail.com,STRONG by Zumba FREE class!,Australia,Townsville,Kirwan,QLD,4817,22-24 Castlemaine ,08:00,8am,,http://5c4cf848f6454dc02ec8-c49fe7e7355d384845270f4a7a0a7aa1.r53.cf2.rackcdn.com/c363e840-f5d7-4bf5-9e75-1cecc1f09394/STRONG%20-%20Active%20nation%20day.jpg,"Body weight, muscle conditioning, cardio and plyometric training moves synced to original music that has been specifically designed to match every single move.",https://clients.mindbodyonline.com/classic/ws?studioid=429874&stype=-7&sTG=22&sView=day&sLoc=0&date=09/24/17
2,jaclyn.maginnis@lornajane.com.au,Paris Active Nation Day ,France,Paris,,,75009,RDV sur le corner Lorna Jane - 4ème étage des Galeries Lafayette Haussmann (Espace Fashion Sport),11:30,11:30am,,,"11H30 - 12h30 : Session de Body Zen avec Cécile (Subtile mélange de Yoga, Tai Chi et Pilates). 12H45 – 13H30 : Full Body Burn avec Lucie. 13H45 – 14H30 : Conférence 'Nourish to Flourish' – L’alimentation notre première médecine avec Lizette de Atentic (Coaching en bien-être, nutrition & style de vie). 11H45 - 15H30 : Animation beauté.",http://bit.ly/2fdkK5L
,,Active Nation Day at BodyByBrandt,Canada,Coquitlam,,,11111,B-1100 Landsdowne Drive,9:00am,9am,,,"Fit, fun and calorie burning classes back to back with like minded women!",
,karls66@hotmail.com,Active Nation Day Narrabri,Australia,Narrabri,,NSW,2390,Colin's Park Oval,8am,8am,,http://5c4cf848f6454dc02ec8-c49fe7e7355d384845270f4a7a0a7aa1.r53.cf2.rackcdn.com/bd223c08-3a50-4ee0-b785-7dedf6cf39f4/IMG_9282.PNG,Celebrate active nation day with your friends and community as well as everyone around Australia. Have fun - get moving and enjoy the sunshine. Wear your best active wear and get your summer sweat on with us.,
2,ljusa34@lornajane.com,Cowboy Fit & Lorna Jane,United States,Frisco,,Texas,75034,Lorna Jane Stonebriar Mall,,,,http://5c4cf848f6454dc02ec8-c49fe7e7355d384845270f4a7a0a7aa1.r53.cf2.rackcdn.com/b0c9d3d7-bede-409e-8646-2eea4df4651b/Active%20Nation%20%233%20eblast.jpg,Zumba Class,
,sue.martin@cghs.com.au,Lake Guthridge Workout,Australia,Sale,,Victoria,3850,"Lake Guthridge, Montgomery St end of lake at the car park",10am,10am,,,Walking or jogging around the lake and doing the fitness stations while enjoying the natural beauty... 😄,
,amylaurenfitness@gmail.com,Free Metafit,Australia,Leeton,,NSW,2705,Mountford Park,9:00am,9am,,,The 30 minute body weight HIIT workout. Fun and quick.,https://www.facebook.com/events/1425869790836945/?ti=as
,nisi0605@hotmail.com,Yoga on the Terrace,Australia,Torquay,,QLD,4655,8 cunningham st,9:00am ,9am,,http://5c4cf848f6454dc02ec8-c49fe7e7355d384845270f4a7a0a7aa1.r53.cf2.rackcdn.com/6af43535-a7b5-446e-b679-64ba1e5b7194/IMG_4163.JPG,"Lets do yoga on the terrace, feel the breeze, be active!",
2,eva.au@lornajane.hk,Active Nation Day - HK Vol.3 BarreAmped,Hong Kong,Hong Kong,,,00000,Barre 2 Barre Hong Kong - 4/F Cheung Hing Commercial Bldg. 37 Cochrane Street Central,15:00,3pm,,,"BarreAmped is a results-driven fitness method founded on the technique of dance, the mind body aspect of yoga, and the precision and core integration of Pilates. BarreAmped produces lengthening and chiseling results fast, using small isolated holds with tiny movements and tremendous mental connection. Expect a challenge and prepare to leave feeling calmly energized with this hands on personal group training session.",https://www.eventbrite.hk/e/active-nation-day-2017-hong-kong-chrissy-denton-hit45-and-barre2barre-tickets-37935363694
,olarzeszowska@gmail.com,Active Nation Day 2-Hour Challange,Australia,Alice Springs,,Northern Territory,0870,"13 Gap Rd, Get Physical Fitness and Squash Centre",3pm,3pm,,http://5c4cf848f6454dc02ec8-c49fe7e7355d384845270f4a7a0a7aa1.r53.cf2.rackcdn.com/dd3a2dc4-006f-4178-bebd-f4481332fb6a/2-hour%20challange.png,We dare YOU! Face your biggest fear and workout for 2 hours with Get Physical! Like to compete? Dare a friend and join us together!,https://www.facebook.com/Get-Physical-104393062958102/
,staceyc@xtendbarre.com,Active Nation Xtend Barre Labrador,Australia,Gold Coast,,Queensland,4215,26 Brisbane Road,8am,8am,,http://5c4cf848f6454dc02ec8-c49fe7e7355d384845270f4a7a0a7aa1.r53.cf2.rackcdn.com/3408fd0e-72c3-499f-ba4a-881ecae78a6a/18582012_1339338869485333_6030138621129114668_n.jpg,"Join us for a FREE Xtend Barre session for Active Nation Day! Xtend Barre is a 55 minute total body workout! Pilates and Dance Amplified! Developed from a dance/Pilates background, the Xtend Barre workout combines the amazing results of dance, with the principles of strength and safety in Pilates. Bring your friends and get active at Xtend Barre!",https://clients.mindbodyonline.com/classic/ws?studioid=38736&stype=-7&sView=day&sLoc=1&date=09/24/17
2,jaclyn.maginnis@lornajane.com.au,Johannesburg Active Nation Day,South Africa,Johannesburg,,,2021,"The Pivot, 1 Montecasino Blvd, Fourways, ",7am,7am,,,"This event is FREE of charge but you have to get your free ticket online. This ticket will enable you to REGISTER on the day at the event. TICKETS ARE LIMITED! The first 100 ladies to REGISTER ON THE DAY, at the event, will receive a fabulous LORNA JANE GOODIE BAG!",http://qkt.io/8F0KDo
2,eva.au@lornajane.hk,Active Nation Day Hong Kong with Chrissy Denton,,Hong Kong,,Hong Kong,00000,Tamar Park,10am,10am,11am,http://5c4cf848f6454dc02ec8-c49fe7e7355d384845270f4a7a0a7aa1.r53.cf2.rackcdn.com/f529914c-e868-4737-a2ca-c2548bf1da72/0917_ActiveNationDay_Social.jpg,Total body circuit - join Chrissy for a dynamic & interactive circuit class on Lorna Janes 'Active Nation Day'!,https://www.eventbrite.hk/e/active-nation-day-2017-hong-kong-chrissy-denton-hit45-and-barre2barre-tickets-37935363694
,brenna.snowdon@fglsports.com,AND SCW x Lorna Jane x Live YYC,Canada,Calgary,,Alberta,T2G 1K5,"Live YYC, 530 6 Avenue SE",11am,11am,,http://5c4cf848f6454dc02ec8-c49fe7e7355d384845270f4a7a0a7aa1.r53.cf2.rackcdn.com/f1779058-a504-4620-b949-248670c13462/0917_ActiveNationDay_240x160-22.jpg,"Love You: Spin, Yoga, or Row: Post-Sweat Social",https://www.eventbrite.com/e/active-nation-day-scw-x-lorna-jane-x-live-yyc-tickets-37863944076
,missnique@live.com.au,Breathe 24/7 North Lakes,Australia,Brisbane,North Lakes,Queensland,4509,"Level 1, 1 North Lakes Drive",8.30am,8.30am,,http://5c4cf848f6454dc02ec8-c49fe7e7355d384845270f4a7a0a7aa1.r53.cf2.rackcdn.com/3331f6a4-1d18-41ec-bb86-8337a266c33e/Untitled%20design.jpg,8.30am Les Mills Body Pump & 9.30am Les Mills RPM,https://www.facebook.com/events/471460613238286/
2,info@zamayoga.com.au,Active Nation Yoga Toowong,Australia,Brisbane,Toowong,Queensland,4066,Lorna Jane Toowong Village Shopping Center,7:30am,7:30am,,,Enjoy a 1 hour Yoga class at the Lorna Jane Toowong Village store with one of the fantastically skilled and very beautiful Yoga instructors from Zama Yoga in Toowong. Get into store early to flow through a powerful Yoga class and have the luxury of a private shop before the store opens!,
2,eva.au@lornajane.hk,Active Nation Day Hong Kong - Vol. 2A Hit45,Hong Kong,Hong Kong,,,00000,"1/F, Abdoolally House, 20 Stanley Street, Central",12:00,12:00,13:00,http://5c4cf848f6454dc02ec8-c49fe7e7355d384845270f4a7a0a7aa1.r53.cf2.rackcdn.com/c6f243f6-7215-45c3-b143-375d4f1a3faa/0917_ActiveNationDay_Social.jpg,"At HIT45 you will be warmed up by our professional trainers using a mix of cardio, body weight, and flexibility exercises. We'll get you nice and warmed up and ready to smash the workout before you know it! Be prepared to burn lots of calories in just 45 minutes - a mix of cardio, free weightsand body weight exercises to help you burn fat, build strength, tone up and improve your fitness levels.",https://www.eventbrite.hk/e/active-nation-day-2017-hong-kong-chrissy-denton-hit45-and-barre2barre-tickets-37935363694
2,samantha.sangsingkaew@lornajane.co.th,Let's Move in the Park,Thailand,Bangkok,,,10330,Lumpini Park,17:00,17:00,,,An afternoon of active living by moving our bodies through a walk in the park.,
,white_alex@hotmail.com,Active Living Day Côte d'Azur,France,Valbone,,,06560,Provence alps Côte d azur,9:00,9:00,,http://5c4cf848f6454dc02ec8-c49fe7e7355d384845270f4a7a0a7aa1.r53.cf2.rackcdn.com/27ada057-3925-4d03-8455-73ffec9af352/ald.jpg,A community collaborative event under the umbrella of Lorna Jane Active Nation Day bringing into focus the MNB philosophy and all coming together to celebrate all thing Active Living! Join the Active Living CDA Facebook group.,https://www.facebook.com/events/1769543830005431/?ti=icl
,info@rokhfit.com.au,Pilates & Aerial Yoga,Australia,Gold Coast,Burleigh Heads,Queensland,4220,2/25 Leda Drive,9am,9am,,http://5c4cf848f6454dc02ec8-c49fe7e7355d384845270f4a7a0a7aa1.r53.cf2.rackcdn.com/66c9a969-8de8-4f88-aa85-7dea8f796af2/Lorna_Jane_Poster_A1%20copy.jpg,"To celebrate Lorna Jane's World Active Day we are excited to provide the Gold Coast community with a free event at Rokh Fit Studio in Burleigh Heads. At 9am we have an open level Pilates class run by owner and instructor Amy, and at 10am we have an open level Aerial Yoga class run by owner and instructor Phoebe.",https://www.facebook.com/pg/rokhfit/events/?ref=page_internal
2,jessie.dean@lornajane.com.au,Active Nation Day | SCW x Lorna Jane x Live YYC,Canada,Southeast Calgary,,Calgary,AB T2G 1K5,Live YYC 530 6 Avenue,11am,11am,1pm,,"Join us for the first Lorna Jane Active Nation Day in Canada! Connect on a mental, emotional, and intellectual level in our Love You session, led by Feminine Power Coach, Kelly Newman, you will sweat it out for 50 minutes in 1 of 3 classes, taught by one of Live YYC's fabulous instructors. Complete your day in our post-sweat social, with healthy treats from local vendors, taking the opportunity to connect with old friends, and make some new ones.",https://www.eventbrite.com/e/active-nation-day-scw-x-lorna-jane-x-live-yyc-tickets-37863944076
tracey@breakingpoint.com.au,,Social CrossFit Class,Australia,Brisbane,North Lakes,,4509,3/29 Flinders Parade,9am,9am,,,"Come along and have some fun. If you have never tried CrossFit before, now might be the time to give it a go. Friendly environment - no pressure!",
,altheamoses@me.com,Get Active with Althea,United States,Los Angeles,,CA,90008,Rancho Cienega Park,9am,9am,,http://5c4cf848f6454dc02ec8-c49fe7e7355d384845270f4a7a0a7aa1.r53.cf2.rackcdn.com/5e6cd130-aa6c-4b5e-86dd-05317132aac0/IMG_4336.JPG,Let's get active with Olympian Althea Moses. Come move your body with Althea - perform HIIT exercise and affirm yourself into shape too.,
